epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.27,0.4757,1.68013,0.82529,0.00581,1,0.95344,0.82928,0.52588,2.93278,0.78817,0.00015719,0.00015719,0.00015719
2,221.501,0.55597,1.42058,0.83566,1,0.36128,0.97426,0.85611,0.51737,2.83374,0.79031,0.000320707,0.000320707,0.000320707
3,324.686,0.50095,1.26256,0.83362,1,0.34602,0.9655,0.86444,0.4681,2.78891,0.82056,0.000452868,0.000452868,0.000452868
4,422.492,0.49777,1.24796,0.85315,1,0.51505,0.97467,0.88633,0.44907,2.65644,0.81865,0.000534586,0.000534586,0.000534586
5,523.332,0.50953,1.16273,0.83829,0.95275,0.86009,0.97721,0.88785,0.44983,2.20337,0.8238,0.000554736,0.000554736,0.000554736
6,623.285,0.49562,1.13618,0.84212,0.96636,0.94135,0.995,0.89395,0.50015,1.92642,0.84667,0.000512368,0.000512368,0.000512368
7,723.536,0.49537,1.07492,0.84859,0.99119,0.97473,0.995,0.89944,0.45676,1.51002,0.83824,0.00041754,0.00041754,0.00041754
8,825.023,0.4482,0.97414,0.8375,0.97086,0.98766,0.99439,0.91016,0.43382,1.28348,0.82575,0.000290579,0.000290579,0.000290579
9,925.929,0.43387,0.95226,0.82032,0.98934,0.99692,0.995,0.90898,0.4112,1.03833,0.81842,0.000149383,0.000149383,0.000149383
10,1027.64,0.42313,0.93029,0.84302,0.99288,0.9937,0.995,0.9134,0.40047,0.93234,0.81665,4.89104e-05,4.89104e-05,4.89104e-05
